,Love,Joy,Anger,Sadness,Fear,Surprise,Nostalgia,Devotion,Neutral
Love,0,1143,1,47,10,2,210,114,0
Joy,212,0,2,14,23,85,68,118,0
Anger,2,10,0,241,31,13,1,8,0
Sadness,91,18,150,0,134,15,276,55,0
Fear,14,99,49,361,0,235,21,45,0
Surprise,3,185,5,27,115,0,14,9,0
Nostalgia,232,244,5,668,11,26,0,112,0
Devotion,404,300,1,45,10,2,68,0,0
Neutral,0,0,0,0,0,0,0,0,0
