,Love,Joy,Anger,Sadness,Fear,Surprise,Nostalgia,Devotion,Neutral
Love,0,0,0,0,0,0,0,0,0
Joy,0,0,0,0,0,0,0,0,0
Anger,0,0,0,0,0,0,0,0,0
Sadness,0,0,0,0,0,0,0,0,0
Fear,0,0,0,0,0,2,0,0,0
Surprise,0,0,0,0,0,0,0,0,0
Nostalgia,0,0,0,0,0,0,0,0,0
Devotion,0,0,0,0,0,1,0,0,0
Neutral,0,0,0,0,0,0,0,0,0
