label,cohen_kappa,spearman_rho,prevalence,difficult_rate,n_positive_judgments
Love,0.745681963973293,0.8036921782676082,0.2315369261477046,0.0,348
Joy,0.73416755533012,0.7558611282270863,0.2215568862275449,0.0,333
Anger,0.8993154257653084,0.9046536900099492,0.11177644710578842,0.0,168
Sadness,0.779901290373982,0.8190606553800804,0.10844976713240187,0.0,163
Fear,0.40825611903697495,0.5061597490605803,0.009314703925482368,0.0,14
Surprise,0.59860038626997,0.6148876328614318,0.023952095808383235,0.0,36
Nostalgia,0.8547020087132579,0.8758069222676292,0.11377245508982035,0.0,171
Devotion,0.8414940929882425,0.8458416338524163,0.09181636726546906,0.0,138
Neutral,0.7921541718289999,0.8314963325844159,0.08782435129740519,0.0,132
