label,cohen_kappa,spearman_rho,prevalence,difficult_rate,n_positive_judgments
Love,0.7880608883155205,0.8271164729105426,0.12260878184160967,0.0,1237
Joy,0.7643836598685175,0.7916594987088935,0.11586876796511052,0.0,1169
Anger,0.9049000861978405,0.9118924006006992,0.09574784418673803,0.0,966
Sadness,0.8454905885951783,0.8512431654868529,0.08325899494498959,0.0,840
Fear,0.9075263626825,0.9206322701766938,0.15938150460898007,0.0,1608
Surprise,0.8930363288807041,0.9012488388895837,0.20675983744672416,0.0,2086
Nostalgia,0.9327070078265244,0.9352929359623224,0.08890871245911389,0.0,897
Devotion,0.8929149723559036,0.9092050065764533,0.07860045594211518,0.0,793
Neutral,0.8658534255273619,0.8942129205335304,0.06056100703736743,0.0,611
