,Love,Joy,Anger,Sadness,Fear,Surprise,Nostalgia,Devotion,Neutral
Love,1996,291,4,34,8,18,23,59,7
Joy,291,1842,13,7,19,77,12,22,45
Anger,4,13,1758,58,23,14,4,22,22
Sadness,34,7,58,1436,21,36,39,7,12
Fear,8,19,23,21,2960,117,10,7,15
Surprise,18,77,14,36,117,3778,8,12,28
Nostalgia,23,12,4,39,10,8,1670,6,12
Devotion,59,22,22,7,7,12,6,1420,13
Neutral,7,45,22,12,15,28,12,13,1068
